"#name"|"Korean Law Dic" 
"국회의 권한 國會의 權限"|"일반적으로 국회가 가지는 입법에 관한 권한, 재정에 관한 권한, 일반국정에 관한 권한, 국회내부사항에 관한 권한을 말한다. 헌법상 인정되어 있는 국회의 권한을 세분하면, (1)입법에 관한 권한：헌법개정안의 제안과 의결(헌128①·130①), 입법(헌40), 법률안제출(헌52), 법률의 공포(헌53⑥), 조약체결·비준에 대한 동의(헌60①) (2)재정에 관한 권한：예산안의 심의·확정(헌54①), 국채모집 등에 대한 의결(헌58), 예산 이외의 국가부담이 될 계약의 체결에 대한 의결(헌58), 예비비총액의 국회의결 및 그 지출 승인(헌55②), 결산심사(헌99) (3)일반국정에 관한 권한：탄핵소추·탄핵결정(헌65), 선전포고 및 국군해외파견·외국군대주류에 대한 동의(헌60②), 국무위원 등에 대한 국회출석 요구 및 질문(헌62②), 국정감사 및 조사(헌61), 국무총리·국무위원의 해임건의(헌63), 일반사면에 대한 동의(헌79②), 대법원장임명에 대한 동의(헌104①), 헌법재판소재판관·중 앙선거관리위원회의 선임(헌111③·114②) ⑴국회내부사항에 관한 권한：의사규칙제정(헌64①), 의원자격심사와 의원징계(헌64②), 내부조직 및 내부경찰 등이 있다."
"국회의 위원회 國會의 委員會"|"국회의 위원회에는 상임위원회와 특별위원회의 2종이 있다(국회 35). 위원회제도는 국회의 안건을 전문분야별로 나누어 예비심사케 함으로써 국회운영의 원활과 안건의 신속한 처리를 할 수 있도록 발달한 것이다. 상임위원회는 행정각부에 대응하는 소관별로 구성되어 있으며 일정한 사항에 관하여 입안 또는 의안심의를 위하여 상설하고 있다(국회37·38). 상임위원회의 위원은 임기초에 의장이 선임하고 그 임기는 2년인데(국회40①·47) 모든 의원은 적어도 1개의 상임위원이 된다. 위원장은 정기회 초에 국회에서 선거한다. 상임위원회에는 국회의원이 아닌 전문지식을 가진 전문위원을 둔다(국회42①). 특별위원회는 상임위원회의 소관사항이 아닌 특별한 사항을 처리하기 위해서 일시적으로 설치되는 위원회이다. 특별위원회는 수개의 상임위소관과 관련되거나 특히 필요하다고 인정한 안건의 효율적 심사를 위해 본회의 의결로 설치되는데(국회44①), 현재 예산결산특별위원회(국회45)·윤리특별위원회 (국회46)·여성특별위원회(국회46의2)가 있다."
"국회의 자율권 國會의 自律權"|"국회가 의사 기타 내부사항에 관하여 스스로 규율할 수 있는 권한. 이는 국회의 자율성을 보장하려는데 목적이 있다. 국회의 자율권에는 의사규칙제정권, 의사 진행에 관한 자율권, 내부감찰권 및 국회가택권, 내부조직권, 의원의 자격심사·징계 등 신분에 관한 권한 등을 들 수 있다(헌64). 특히 의사규칙은 헌법과 법률에 저촉되지 아니하는 범위 안에서 제정할 수 있는데 국민에게 공포하지 않고 원내에 있는 모든 사람들에게 적용된다."
"국회의 전문위원 國會의 專門委員"|"국회위원이 아닌 신분으로 국회의 상임위원회에 속하고 있는 전문지식을 가진 위원을 말한다. 전문위원은 사무총장의 제청으로 국회의장이 임명한다. 전문위원은 위원회에서 발언할 수 있으며 본회의결 또는 의장의 허가에 의하여 본회의에서 발언할 수 있다(국회42)."
"국회의 회의 國會의 會議"|"국회에서 의안의 심의 등을 위하여 행하여지는 의사. 그 집회원인에 따라 정기회와 임시회로 구분되며, 의사단계에 따라 본회의와 위원회의로 구분할 수 있다. 국회의 본회의는 본회의 의결 또는 의장이 각 교섭단체 대표의원과 협의하여 정하며(국회85), 국회가 특히 비공개로 하기로 의결한 경우 이외에는 본회의는 공개하여야 한다(헌50①, 국회75)."
"국회의원 國會議員 [영] congressman, member of parliament [독]  Parliamentarier"|"국민의 보통·평등·직접·비밀선거에 의하여 선출된 의원과 비례대표국회의원이 있다(헌41). 우리 헌법은 의원정수의 3분의 1에 해당하는 의원은 각 정당의 의석비율에 따라서 정당에서 추천한 자를 중앙선거관리위원회가 결정하도록 하고 있으므로 그 선출 방법이 이원적인 데 특색이 있다. 국회의원의 임기는 4년이다(헌42)."
"국회해산권 國會解散權 [영] dissolution [독] Aufl sung"|"국회를 해산할 수 있는 권한. 국회해산권은 두 가지로 설명할 수 있다. 우리의 제5공화국 헌법에 의한 대통령의 국회해산권이며 또 하나는 의원내각제도하에서의 대통령의 의회해산권인 바, 우리 현행헌법에서는 전자가 폐지되었다. 헌법상 대통령의 국회해산권은 권력분립주의를 고수하는 대통령제 정부형태에서는 찾아볼 수 없는 특수한 것이며, 그 요건에 관하여 대통령은 국가의 안정 또는 국민전체의 이익을 위하여 필요하다고 판단할 때에는 국회의장의 자문과 국무회의의 심의를 거쳐 그 사유를 명시하여 해산할 수 있었으나 제9차 개정헌법에서는 이와 같은 대통령의 국회해산권을 폐지하였다."
"군사법원 軍事法院"|"헌법의 근거하에 군사재판을 관할하기 위하여 설치하는 특별재판소(헌110). 군사법원의 종류에는 고등군사법원과 보통군사법원이 있어 2심제로 되어 있으나 법률이 정하는 일정한 사유가 있을 때에는 대법원에 상고가 허용된다(헌110②, 군법442). 그러나 비상계엄하의 군사재판은 일정한 경우에 단심으로 할 수 있다(헌110, 군법534). 그 구성은 고등군사법원에 있어서는 재판관 5인으로써, 보통군사법원에 있어서는 재판관 3인 또는 5인으로써 구성하는 바 군사법원의 재판관은 헌법과 법률에 의하여 독립하여 심판한다(군법21). 그리고 군사법원은 계엄법에 의한 재판권을 가진다."
"군정분리의 원칙 軍政分離의 原則"|"군정과 군령을 독립시켜 군의 행동은 정부의 책임 밖에 두고, 군사에 대한 지휘·통솔은 따로 정부에 대하여 독립한 기관을 설치하여 이에 담당하게 하는 제도인데 과거의 일본이 이 원칙을 채용한 바 있다. 그러나 이 제도는 군의 횡포와 군국주의화를 초래할 우려가 있으므로 우리 헌법에서는 채용하지 않는다."
"군주주권설 君主主權說 [영] theory of monarchial sovereignty [독] F rstensouver nit tstheorie"|"주권이 최종적으로 군주에게 속한다는 학설."
"군중범죄 群衆犯罪 [독] Massenverbrechen"|"형사상 구성요건이 다중의 행위에 의하여서만 충족되는 범죄를 말한다. 내란죄·소요죄는 이 의미의 군중범죄이다. 집단범죄의 일종이지만, 조직적·계속적이 아닌 점이 범죄단체에 의한 단체범과 이러한 범죄는 그 특수성으로 보아 공범의 일반규정이 적용되지 않으며 수괴, 모의에 참여한 자, 지휘·가세자와 같이 능동적으로 행위한 자를 중하게 벌하고, 부화수행자와 같이 수동적으로 행위한 자는 경하게 벌하고 있다(형87). 그 밖에 형사학상은 군중심리의 영향을 받아 행하여지는 범죄의 뜻으로도 사용된다. 이와 같은 범죄에서는 외부적 자극이 범죄의 중요한 원인을 이루고 있기 때문에 주모자급을 제외하고는 원칙적으로 가벼운 형이 과하여져야 할 것이다."
"굿윌  [영] goodwill [독]  Chancen, Kundschaft"|"상인의 단골고객을 의미하는 뜻으로 사용된다. 그러나 광의로는 영업상의 비결·명성·경영조직 등 오랫동안의 영업에 의해서 얻은 무형적인 이익을 총칭하는 말로 사용된다."
"권고적 의견 勸告的 意見 [영]  advisory opinion"|"미국의 최고재판소나 서독의 헌법재판소에서는 재판 이외에 행정부가 자문하는 법률문제에 대해서 의견을 표명한다. 이런 예에 따라서 국련총회 및 안전보장이사회 기타 기관이 자문하는 법률문제에 대하여 국제사법재판소가 표명하는 의견을 말한다. 이것을 조언적 의견이라고도 한다. 비록 법적 구속력은 없지만 실제로는 많이 존중되고 있으며 분쟁해결을 위해 기여하는 바가 적지 않다. 통상 전재판관이 출석하고 판결할 때와 똑같은 절차를 거쳐 행하여진다."
"권력관계 權力關係 [독] Gewaltverh ltnis"|"국가 또는 공공단체와 개인이 법률상 지배자와 복종자의 지위에 서는 관계. 양자의 지위가 대등하지 않고 전자의 의사가 법률상 후자에 우월한 힘을 가진다. 그 지배권의 성립이 일반통치권에 기초하는 경우가 일반권력관계이며, 특별한 규정 또는 당사자의 합의에 기초하는 경우가 특별권력관계이다. 권력관계는 공법관계의 전형적인 것으로서, 사법관계에 있어서와는 다른 법원리의 적용이 있다. 관리관계에 대하는 말이다."
"권력분립주의 權力分立主義 [영] seperation of powers [독] Gewaltenteilung"|"국가의 통치작용을 입법·사법·행정의 삼권으로 나누고, 이를 분장하는 세 기관간에 권력의 독립 및 견제를 시킴으로써 국민의 정치적 자유를 보장하려는 자유주의적인 통치조직의 원리. 로크·몽테스키외 등에 의하여 제창되어 근대의 시민적 자유주의 및 국가참정의 요청에 따른 까닭에 각국의 정치조직에 널리 채용되었다. 제1차대전 후 일부 독재국가에서는 이 원리를 폐기한 바 있지만 근대의 헌법에는 거의 공통된 권력구조로 채택하고 있다. 보통 입법권은 의회가, 사법권은 법원이, 행정권은 군주·대통령 등의 행정기관이 행하는 역사적으로 발달한 제도이므로 그 구체적인 현상은 각국이 동일하지 않다. 예컨대 미국형의 대통령제는 거의 완전한 삼권분립을 인정하고 있으나 영국형의 의원내각제는 오히려 입법·행정의 융합을 나타내고 있다. 또 대륙법계의 여러 나라에서는 행정재판제에 의하여 행정권의 사법권으로부터의 독립을 강조하는 데 비하여, 영미법계의 여러 나라는 이를 인정하지 않는다. 우리나라의 헌법은 입법권은 국회에(헌40), 사법권은 법원에(헌101), 행정권은 대통령(헌66)에 각각 분립시키고 있다. 그러나 현대 각국의 삼권분립제도는 고전적 분권이론에 비하여 제도적으로나 이념적으로 볼 때 많은 수정과 변질을 가져오고 있다."
"권리 權利 [영] right [독] (subjektives)Recht"|"권리라는 것은 법이 인정하는 의사의 힘이라고 할 수 있다. 즉 물건의 매도인은 매수인에 대하여 대금을 청구할 권리가 있는데, 대금청구권이 있다는 것은, 대금을 청구하고자 하는 매도인의 의사가 법에 의해서 보호되고 있다는 의미가 있기 때문에 위와 같이 정의할 수도 있다. 이때 매수인이 임의로 대금지급을 하지 않을 때는 매도인은 법원에 소구하여 판결을 얻어 매수인의 재산으로부터 강제적으로 대금을 받아 낼 수가 있다. 권리는 법률에 의하여 보호되는 이익이라고도 설명되고 있다. 이에 의하면 매도인이 대금을 청구할 수 있다는 것은 매도인의 이익이므로 이 이익을 얻을 수 있도록 법률이 보장하고 있기 때문이다."
"권리관계 權利關係"|"권리관계라 함은 사람과 사람간에 있어서 법률상의 의무를 강제할 수 있는 관계를 말한다. 예컨대 갑·을간에 매매계약이 성립한 때에는 매도인인 채권자는 그 대금의 교부를 받을 권리가 있으므로 채무자인 매수인을 강제할 수가 있다. 즉 강제할 수 있는 관계가 권리관계인 것이다."
"권리능력 權利能力"|"권리나 의무를 가질 수가 있는 자격 내지 지위를 말한다. 구체적으로는 육체를 가진 자연인과 회사·학교·재단법인과 같은 법인의 두 가지로 나누어진다. 이것을 인격 또는 법인격이라고 한다. 자연인은 모체로부터 전부노출했을 때부터 권리능력을 가지는 것이 통설이나 아직 태어나지 않은 태아도 아버지가 살해되었다고 할 때의 손해배상이라든가 호주승계나 재산상속, 유증 등의 경우에는 이미 태어난 것으로 하여 권리능력을 가지는 것으로 하고 있다. 태아에게 유산을 준다고 하는 유언도 유효한 것이다. 민법에서는 따로 무능력자라고 하는 말이 있으나 이것은 권리 능력이 없는 자는 아니므로 주의하여야 한다."
"권리능력없는 사단 權利能力없는 社團"|"일정한 목적에 따라 결합한 집단이면서 권리능력을 가지지 않는 것을 말한다. 영리를 목적으로 하지 않기 때문에 회사가 아니며 또 설립등기를 하지 않기 때문에 사단법인이 되지 않는 학회·동창회·친목회·사교클럽이라든가, 장차 사단법인으로 될 것이라도 아직 절차를 마치지 않은 것이 이에 해당한다. 인격없는 사단 또는 법인 아닌 사단이라고도 한다. 권리능력없는 사단은 그 실질로 보아서는 될 수 있는 대로 사단법인에 가깝게 다루는 것이 적당하다. 즉 사원의 다수결로 의사를 결정하며 대표자에 의하여 행동한다. 그 재산은 사단 자체의 것이며 채무도 마찬가지이다 . 그 구성원은 회원 기타 단체의 규칙으로 정한 이상의 책임을 지지 않는 것으로 되어 있다. 또한 권리능력 없는 사단의 재산을 공시하기 위해서는 예금 등에는 대표자의 직위를 써 넣는다. 그러나 토지나 건물에 대해서는 이 방법이 인정되어 있지 않으므로 대표자의 개인명의로 신탁적으로 등기하는 수밖에 방법이 없다."
"권리보호의 이익 權利保護의 利益 [독] Rechtsschutzinteresse"|"원고가 청구에 관하여 판결을 구하는데 필요한 법률상의 이익. 예컨대 A가 B에게 10만원을 반환하지 않으므로 B는 법원에 소를  제기하여 판결을 받고, 그 판결이 확정된 경우에는(형식적 확정력의 항 참조) B는 A에 대하여 동일한 이유로 다시 소를 제기할 필요가 없을 것이다. 즉 10만원의 청구에 관하여는 이미 법원의 확정판결에 의하여 A와 B의 분쟁이 해결되었기 때문이다. 이와 같이 권리보호의 이익이 없는 경우에는 법원 또한 그 내용에 들어가서 심리재판할 이유가 없으므로 소를 각하하는 것이다(각하 판결). 이 예에서도 알 수 있는 바와 같이 법원에 소를 제기하여 본안판결을 받기 위하여는 소송하고 있는 권리에 관하여 권리보호의 이익 또는 필요가 있지 않으면 안된다(소송요건의 항 참조)."
"권리보호의 자격 權利保護의 資格 [독] Rechtsschutzf higkeit"|"원고의 청구가 판결로 확정하기에 적합한 유형에 해당하는 사항이냐 하는 문제. 법원은 어디까지나 법률상의 쟁송을 재판하는 것이다. 따라서 자연과학상의 인식이 맞느냐 맞지 않느냐 하는데 관하여 다투거나 종교적 신념에 관하여 다투는 것 등은 소송에 적합하지 않다. 단순한 사실의 존재여부를 둘러싼 다툼도 원칙적으로 소송에 적합하지 않다. 법률의 다툼도 추상적인 법령의 효력이나 해석의견 등은 소송에 적합하지 않다. 결국 원고의 청구는 재판상으로 주장하기에 알맞는 특정한 권리관계의 주장이 아니면 안된다. 그러므로 우리들이 법원에 소를 제기하여 본안판결을 받기 위하여는 다투고  있는 권리가 판결을 받기에 알맞은 것, 즉 권리보호의 자격을 가진 것이 아니면 안된다. 소가 권리보호의 자격을 결하면 법원은 권리에 관하여 판단을 하지 않고 원고의 소를 각하한다."
"권리본위사상 權利本位思想"|"법의 이론 및 실제에 대하여 권리가 가지는 의의를 중요시하는 사상. 의무본위사상에 대한다. 이 사상은 일찍이 로마법에서 볼 수 있었으며 특히 근대에 이르러 개인주의적 사회관과 결부하여 지배적이 되었다."
"권리설정 權利設定"|"권리의 주체가 그 권리를 보유하면서 그 권리에 기하여 내용이 제한된 새로운 권리를 발생시키는 것. 예컨대 소유자가 지상권이나 질권과 같은 제한물권을 설정하는 경우이다. 이러한 제한물권을 설정하려면 당사자의 설정계약 또는 단독행위가 있어야 하며 저당권·지상권에 있어서는 등기를, 질권에 있어서는 점유의 인도를 필요로 한다."
"권리의 객체 權利의 客體"|"권리의 실질적인 내용은 이익이다. 이 이익을 권리의 내용 또는 목적이라고 한다. 이 권리의 내용 또는 목적이 성립하기 위한 대상을 권리의 객체라고 한다. 즉 이익발생의 대상이 권리의 객체이다. 예컨대 물권은 물건을 직접 지배하는 것이 그의 목적 또는 내용이며 물건은 물권의 객체인 것이다. 이와 같이 권리의 객체는 권리 의 목적, 내용 또는 종류에 따라 다르다. 즉 물권에 있어서는 물건, 채권에 있어서는 특정인의 행위(급부), 권리 위의 권리에 있어서는 권리, 형성권에 있어서는 법률관계 , 무체재산권에 있어서는 정신적 산물, 인격권에 있어서는 권리주체, 친족권에 있어서는 친족법상의 지위, 상속권에 있어서는 상속재산 등이 권리의 객체이다."
"권리의 경합 權利의 競合"|"광의로는 권리자의 1인이 타권리자의 권리의 전부 또는 일부의 행사를 불능하게 하지 않으면 자기의 권리를 완전히 행사할 수 없는 상태로서 수인의 권리가 병립하는 것을 말하고, 협의로는 1인에게 동일한 목적을 가진 수개의 권리가 동시에 존재함을 말한다. 협의의 권리의 경합에는 청구권의 경합, 형성권의 경합, 지배권의 경합 등이 있다."
"권리의 남용 權利의 濫用"|"외관상으로는 권리의 행사와 같이 보여도 실질적으로는 공공의 복지에 반하여 권리행위라고 할 수 없는 경우를 말한다. 이러한 권리의 행사에 대하여는 이것을 인용할 필요가 없거나 불법행위로서 손해배상을 청구할 수가 있다. 이에 관한 통설에 따른 몇 가지 예를 들어보면 다음과 같다. ⑴인지(隣地)소유자에게 토지를 비싼 값으로 사들이게 하려고 본인에게는 전혀 무익한 것이나 인지의 소유자에게는 치명적인 타격을 주는 건물을 일부러 건축한 경우에는 보통 불법행위에 의거한 손해배상을 청구할 수 있으며 때에 따라서는 그것을 제거하게 할 수 있을 것이다. ⑵인지에서 양어장을 비롯하여 많은 우물을 파고 물을 퍼 올렸기 때문에 이웃집인 요정에서 매물(賣物)로 하고 있던 샘물이 말라 버린 경우에, 불법행위에 의한 손해배상을 인정하고 있다. ⑶별로 사용하지 않는 조그마한 황무지를 타인이 중요한 공작물을 설치하기 위하여 무단히 사용한 경우 그것을 제거하게 되면 손해가 크고 공공의 손실도 적지 않을 경우에 그것을 제거할 것을 청구(물상청구)하는 것은 남용이라고 하며 다만 손해배상의 청구만이 허용된다. ⑷소액의 대금을 이유로 해서 신용도 있고 지급능력도 충분히 있는 차주에 대하여 최고도 하지 않고 갑자기 가압류를 한 경우에 불법행위에 의한 손해배상의무가 있다."
"권리의 변동 權利의 變動"|"권리의 발생·변경·소멸의 총칭.이것은 권리주체로부터 보면 권리의 취득·변경·상실 등이 된다. 권리의 변동은 사람의 정신작용에 기인하지 않는 행위 등 여러 가지 원인에 의하여 생기는 바, 개개의 권리의 변동을 발생케 하는 원인을 통틀어서 법률요건이라고 한다."
"권리의 이전 權利의 移轉"|"권리가 그 자체로, 즉 동일성을 잃지 않고 갑으로부터 을로 주체를 옮기는 것. 후주인 을로부터 본다면 권리의 취득 및 승계취득이 된다. 계약 그 밖의 법률행위 또는 법률의 규정에 의하여 일어난다."
"권리의 추정 權利의 推定"|"특정인이 어떤 사실에 따라서 특정한 권리를 가지고 있다고 추정되는 것. 예컨대 추정점유자가 점유물 위에 행사하는 권리는 적법하게 보유하는 것으로 추정한다(민197). 이런 추정을 받고 있는 자는 그 권리를 다투는 자가 있더라도 스스로 권리 자라는 거증책임을 지지 않고 도리어 이것을 다투는 자 쪽에서 추정점유자가 권리자가 아니라는 것을 입증하지 않으면 안된다."
"권리의 포기 權利의 抛棄"|"자기가 가지는 권리를 소멸시키기 위하여 행하는 행위. 포기한다는 취지의 적극적 의사표시에 의하는 점에서 권리의 불행사와 구별된다. 권리를 포기하는 것은 원칙으로 권리자의 자유이나 공권이나 신분권과 같은 것은 그 성질상 포기할 수 없는 것을 원칙으로 하며 재산권이라도 타인의 이익을 해치는 경우에는 포기할 수 없다."
"권리장전 權利章典 [영] bill of rights"|"시민의 자유나 권리를 확립·보장하는 문서를 의미한다. 흔히 영국의 명예혁명(1688년)의 다음해에 시민의 기득권을 확인하기 위하여 의회가 기초하여 국왕 윌리암이 인가한 역사적인 문서로서 대헌장 및 권리청원과 함께 영국헌법상의 3대성서라고 불린다. 후에 미국 여러 주의 권리선언과 프랑스혁명의 본보기가 되었다."
"권리주 權利株"|"회사의 성립 전 또는 신주발행의 효력발생 전에, 주식인수인이 가지고 있는 권리. 회사설립시에 주식을 인수한 자는 회사성립시부터 주주로 되고, 회사성립 후의 신주발행시에 신주를 인수한 자는 납입기일의 익일로부터 주주의 권리·의무가 있다(상423①). 권리주의 양도를 자유롭게 하면 투기를 조장한다는 이유에서 당초에는 이것을 금지하고 있었으나, 후에 이 금지를 풀고, 주식의 인수로 인한 권리의 양도는 회사에 대하여 효력이 없다고 하였다(상319·425). [효력이 없다]는 것은 권리주의 양수인은 회사에 대하여 이것을 주장할 수 없을 뿐 아니라 회사도 양수인에 대하여 양도의 사실을 부정할 수 있다는 뜻이다. 발기인·이사에 대하여는 권리주의 양도를 금지하고 있다. 그러나 이 양도를 절대적 무효로 하면 이와 같은 권리주를 거래한 것도 무효가 되어 법률관계가 복잡하게 된다. 그래서 양도가 있은 당사자간의 거래는 이것을 유효로 하고, 회사에 대한 관계에서는 효력이 없다는 일반 규정을 적용키로 하였다. 그리고 이 금지에 위반한 발기인·이사에 대하여는 별도로 벌칙을 규정하고 있다(상635②)."
"권리질 權利質 [독] Pfandrecht an Rechten"|"물건 이외의 권리상에 성립하는 질권이다(민345∼355). 질권은 동산 위에 성립하는 외에 채권이나 주식과 같은 재산권에도 성립한다. 본래 질권은 동산에 대해서 인정된 제도인데, 각종의 권리가 한 개의 재산으로서 경제적으로 중요한 의미를 가짐에 따라서, 동산을 질입하는 것과 같이, 권리를 질입하는 것이 인정되었다. 현재 권리질은 은행금융등에서 중요한 작용을 하고 있다. 권리질의 목적이 될 수 있는 권리는 양도를 할 수 있는 재산권이다. 그러나 소유권, 점유권, 지역권 등은 그 권리의 성질로 보아 권리질의 목적이 되지 않으며 광업권, 어업권 등은 정책상 질권의 목적으로 하는 것을 금지하고 있다. 채권과 주식이 가장 중요한 것인데, 그밖에 무체재산권 등에 있어서도 성립한다. 권리질은 목적물을 맡아 두고 필요적 압박을 가하는 유치적 효역은 적으나, 목적물에서 우선변제를 받는다는 점에서는 유체물의 질권과 같다. 그러나 그 성질상, 성립요건이나 대항요건에 관하여 보통의 질권과 달리 취급하는 것을 민법이나 상법 등에서 규정하고 있다."
"권리청원  權利請願 [영] petition of right"|"1628년 찰스 1세의 악정에 대하여 인민의 헌법상의 권리를 주장하기 위하여 영국하원의 유력자들이 왕에 대한 청원서를 기초하여 강제적으로 상원을 동의케 하여 왕으로 하여금 끝내 서명하게 한 문서를 말한다. 영국 헌법의 일부분을 이루고 있다."
"권리취득 權利取得"|"권리가 특정한 주체와 법률적으로 결합하는 것. 즉 특정한 법률상의 인격자가 새로 특정한 권리주체가 되는 것인데 이것에는 원시취득과 승계취득의 2종이 있다. 후자는 어떤 권리를 타인의 권리에 기하여 취득하는 것이고 전자는 타인으로부터 전래적이 아니라 독립하여 권리를 취득하는 것이다."
"권리행사방해죄 權利行使妨害罪"|"타인이 점유하거나 권리의 목적이 된 자기의 물건 또는 전자기록 등 특수매체기록을 그 타인의 승낙 없이 취거·은익 또는 손괴하여 타인의 권리행사를 방해하는 죄이다(형323). 예를 들면 타인에게 임대해 준 자기의 자전차를 그 타인의 승낙 없이 제3자에게 매매하여 인도한 경우가 이에 해당한다. 타인은 반드시 자연인에 한하지 않고 법인이든 법인격 없는 단체이든 불문한다. 또 자기와 타인이 공동으로 점유하는 물건도 타인이 점유하는 물건으로 이해한다. 그러나 자기와 타인이 공동으로 소유하는 물건은 타인의 물건이 되어 본죄의 객체로 되지 않는다. 공무소의 명령에 의하여 타인이 관리하는 자기의 물건도 타인의 점유에 속하는 것이지만, 이에 관하여는 공무상보관물무효죄(형142)가 성립될 뿐이다. 점유는 사실상의 지배를 말하므로 예를 들면 백금반지를 친구에게 맡기고 돈을 차용한 경우에, 그 백금반지가 친구의 정원에 떨어져 있음을 알고 이를 은익한 때에도 권리행사방해죄로 된다. 또 타인의 권리의 목적이된 자기의 물건은 그것이 질권이나 저당권과 같은 물권의 목적이든, 임대된 물건과 같은 채권의 목적이든 불문하며, 그 물건은 재산죄에 있어서의 [재물]의 개념·내용과 동일하다. 따라서 [관리할 수 있는 동력](형346)도 여기의 물건에 포함시키는 것이 통설이다. 본죄의 행위는 점유자의 의사에 반하여 타인의 점유물을 자기 또는 제3자의 사실상의 지배밑으로 옮기거나(취거), 물건의 소재의 발견을 불능 또는 곤란하게 하거나(은익), 혹은 물건의 일부 또는 전부를 용익적·가치적으로 해하는 것(손괴)이고, 이러한 행위에 의하여 타인의 권리행사를 방해함으로써 범죄가 성립한다. 5년 이하의 징역 또는 700만원 이하의 벌금에 처하고, 본죄를 직계혈족·배우자·동거친족·호주·가족 또는 그 배우자 사이에 범한 경우에는 그 형을 면제하고(형328①), 그 이외의 친족 사이에 범한 때에는 고소가 있어야 공소를 제기할 수 있다(형328②). 이른바 친족상도례가 적용되는 범죄이다. 폭행 또는 협박으로 타인의 권리행사를 방해하거나 의무 없는 일을 하게 하면 5년 이하의 징역(형324)에 처하고, 폭행 또는 협박으로 타인이 점유하는 자기의 물건을 강취하면 7년 이하의 징역 또는 10년 이하의 자격정지에 처하며(형325①), 이에 의하여 사람의 생명에 위험을 발생하게 하면 10년 이하의 징역에 처한다(형326). 또 강제집행을 면할 목적으로 재산을 은익·손괴·허위양도 또는 허위채무를 부담하여 채권자를 해하면 3년 이하의 징역 또는 1천만원 이하의 벌금이다(형327). 이 죄는 목적범이므로 강제집행을 면하는데 성공하였는가 아닌가는 범죄의 성립에 영향이 없다."
"권원 權原 [영] title [독]  Rechtstitel"|"어떤 법률적 또는 사실적 행위를 하는 것을 정당하게 하는 법률상의 원인. 예컨대 타인의 토지에 물건을 부속시키는 권원은 지상 권·임차권이다. 그러나 점유에 관하여는 점유를 정당하게 하는가의 여부를 불문에 붙이고 점유하게 된 모든 원인을 포함한다."
"권한쟁의심판 權限爭議審判"|"권한쟁의심판이란 국가기관과 그 하부결정기관 등의 권한을 규정한 헌법의 해석에 이의가 있는 경우에 기관이 청구하는 소송을 말한다(헌법111, 헌재61∼67). 특정한 사항이 자기 관할에 속한다는 것을 주장하는 적극적 권한쟁의와 속하지 아니함을 주장하는 소극적 권한쟁의가 있다. 심판청구의 요건으로서는 피청구인의 처분 또는 부작위가 헌법 또는 법률에 의하여 부여받은 청구인의 권한을 침해하였거나 침해할 현저한 위험이 있어야 한다. 권한쟁의의 심판은 그 사유가 있음을 안 날로부터 60일 이내에, 그 사유가 있은 날로부터 180일이내에 청구하여야 한다. 헌법재판소는 처분 또는 부작위가 청구인의 권한을 침해한 때에는 이를 취소하거나 무효를 확인할 수 있다. 권한쟁의의 결정은 재판관의 과반수의 찬성을 요한다."
"궐석재판 闕席裁判"|"구속피고인이 출정을 거부할 경우 피고인의 출석없이 재판을 하는 것이다. 피고인이 출석하지 아니하면 개정하지 못하는 경우에 구속된 피고인이 정당한 사유없이 출석을 거부하고, 교도관리에 의한 인치가 불가능하거나 현저히 곤란하다고 인정되는 때에는 피고인의 출석없이 공판절차를 진행할 수 있다(형소277의2①). 피고인의 출석 없이 공판절차를 진행할 경우에는 출석한 검사 및 변호인의 의견을 들어야 한다(형소277의2②)."
"귀책사유 歸責事由"|"일정한 결과를 발생케 한데 대하여 법률이 나무랄 수 있는 원인있는 행위. 보통 고의·과실을 요하나 자기의 지배하에 있는 자의 과실 및 신의칙상 이와 동시할 수 있는 원인행위도 포함하는 경우가 있다(민391·538·546). 귀책사유의 판단은 공평하고 적정한 책임의 분담을 실현하는데 의미가 있다."
"규문주의  糾問主義"|"형사절차가 일정한 소추권자의 소추에 의하여 개시되고 심리되는 것이 아니라 법원의 직권에 의하여 행해지는 주의. 탄핵주의에 대립되는 관념이다. 그런데 규문주의라는 말은 다음과 같은 여러 가지 의미로 사용된다. (1)소송은 일정한 소추권자의 소에 의하지 않고 오직 법원의 직권에 의하여 개시하는 주의. (2)소송이 개시된 후에 소송의 주체로서 법원·피고인의 2면관계만 있고, 법원·소추자·피고인의 3면관계가 아닌 소송의 형식. (3)사실발견의 임무를 법원이 담당하는 주의. 이것은 직권주의라고 불릴 때가 많으며, 당사자주의에 대립되는 관념이다. 절대주의국가의 전형적인 규문주의는 3자를 겸비하고 있었으나 그 중의 하나 또는 둘만을 갖추고 있는 것도 있다. 근세 초기의 절대주의국가에 있어서 전형적으로 형성되었지만 [프랑스]혁명 후는 국가소추에 의한 탄핵주의로 대치되었다. 규문주의는 법원이 소추권·증거수집권·심판권을 갖기 때문에 소송활동이 민활·신속한 점에 특징이 있으나 소송당사자를 인정하지 않고 소송의 전단을 조장하는 폐단이 있다."
